"Front","Back","code","Tags"
"What command creates an empty file?","Creates a new empty file if it does not exist. Updates the timestamp if it already exists.","touch file.txt","module02"
"What command creates multiple files at once?","Creates several files in a single command.","touch app.py config.yaml README.md","module02"
"What command creates a directory?","Creates a new directory.","mkdir project","module02"
"What command creates nested directories in one command?","The -p option creates parent directories as needed.","mkdir -p app/logs/archive","module02"
"What command copies a file?","Copies source file to destination.","cp source.txt backup.txt","module02"
"What command copies multiple files into a directory?","Copies all specified files into the target directory.","cp file1.txt file2.txt backups/","module02"
"What command copies a directory recursively?","The -r option copies directories and their contents.","cp -r project backup-project","module02"
"What command preserves timestamps and permissions while copying?","The -p option preserves metadata.","cp -p config.yaml backup-config.yaml","module02"
"What command moves a file?","Moves or renames a file.","mv old.txt new.txt","module02"
"What command renames a file?","mv is commonly used for renaming.","mv app.log app-old.log","module02"
"What command moves multiple files into another directory?","Moves all specified files to the target directory.","mv *.log logs/","module02"
"What command deletes a file?","Removes a file permanently.","rm file.txt","module02"
"What command removes an empty directory?","Works only if the directory is empty.","rmdir emptydir","module02"
"What command removes a directory and all contents?","The -r option recursively removes everything inside.","rm -r project","module02"
"What command forcefully removes files without confirmation?","The -f option suppresses prompts.","rm -f file.txt","module02"
"What command forcefully removes a directory and all contents?","Very dangerous command. Use carefully.","rm -rf project","module02"
"Why is rm -rf considered dangerous?","It recursively and forcefully deletes files without confirmation. Mistakes can destroy entire systems.","rm -rf","module02"
"What command creates a symbolic link?","Creates a shortcut/reference to another file or directory.","ln -s /opt/app/config.yaml config.yaml","module02"
"What is a symbolic link?","A special file that points to another file or directory.","ln -s","module02"
"What command creates a hard link?","Creates another directory entry pointing to the same inode.","ln source.txt hardlink.txt","module02"
"What command shows file type information?","Identifies file format and type.","file app.log","module02"
"What command displays the absolute path of a file?","Resolves symbolic links and prints full path.","readlink -f app.log","module02"
"What command displays disk usage of a file?","Shows file size on disk.","du file.txt","module02"
"What command displays human-readable directory size?","Shows total size in KB/MB/GB.","du -sh project","module02"
"What command displays disk usage for all files in a directory?","Summarizes file and directory sizes.","du -sh *","module02"
"What command lists files recursively?","Displays files in all subdirectories.","ls -R","module02"
"What command displays the first few entries of a large directory?","Useful when a directory contains thousands of files.","ls | head","module02"
"What command displays the last few entries of a directory listing?","Useful for quickly inspecting recent files.","ls | tail","module02"
"You need to create a project structure app/logs/archive. Which command should you use?","Creates parent directories automatically.","mkdir -p app/logs/archive","module02"
"You need to back up a configuration directory before deployment. Which command should you use?","Copy the entire directory recursively.","cp -r config config-backup","module02"
"You need to rename nginx.conf to nginx.conf.bak before editing. Which command should you use?","Use mv to rename the file.","mv nginx.conf nginx.conf.bak","module02"
"You need to remove old log files permanently. Which command is commonly used?","Deletes matching log files.","rm *.log","module02"
"You accidentally ran rm -rf on the wrong directory. Why is this a major production incident?","The command permanently deletes files recursively and usually cannot be undone.","rm -rf","module02"
"What command is commonly used to create deployment backups?","Copies files or directories before changes.","cp","module02"
"What command is commonly used to organize log files into directories?","Moves files into another location.","mv","module02"
"What command is commonly used to clean temporary files?","Removes unwanted files.","rm","module02"
"What command is commonly used to create application directories?","Creates project folder structures.","mkdir","module02"
"What command is commonly used to create placeholder files?","Creates empty files quickly.","touch","module02"
"What command shows whether a file is text, binary, JSON, or compressed?","Identifies the file type.","file","module02"
"A DevOps engineer wants to know how much disk space a directory consumes. Which command should be used?","Displays total directory size.","du -sh directory","module02"
"A Linux interview asks: How do you copy a directory and all its contents?","Use recursive copy.","cp -r source destination","module02"
"A Linux interview asks: How do you create nested directories in one command?","Use mkdir with the -p option.","mkdir -p path/to/directory","module02"
"A Linux interview asks: How do you create a symbolic link?","Use ln with the -s option.","ln -s target link","module02"
"A Linux interview asks: How do you safely back up a file before editing it?","Copy the file to a backup name.","cp config.yaml config.yaml.bak","module02"
"What file extension is commonly used for backup files in Linux?","Conventionally .bak is used.","config.yaml.bak","module02"
"What are the most important Module 02 commands every DevOps engineer should know?","File creation, copying, moving, deleting, linking, and disk usage analysis.","touch\nmkdir\ncp\nmv\nrm\nln\ndu\nfile","module02"
